Date,WTD
01/01/2018,-18
02/01/2018,-17
03/01/2018,-18
04/01/2018,-18
05/01/2018,-18
06/01/2018,-17
07/01/2018,-18
08/01/2018,-19
09/01/2018,-20
10/01/2018,-20
11/01/2018,-20
12/01/2018,-21
13/01/2018,-21
14/01/2018,-22
15/01/2018,-22
16/01/2018,-22
17/01/2018,-22
18/01/2018,-22
19/01/2018,-23
20/01/2018,-23
21/01/2018,-23
22/01/2018,-23
23/01/2018,-24
24/01/2018,-23
25/01/2018,-22
26/01/2018,-19
27/01/2018,-18
28/01/2018,-18
29/01/2018,-19
30/01/2018,-19
31/01/2018,-20
01/02/2018,-20
02/02/2018,-21
03/02/2018,-21
04/02/2018,-21
05/02/2018,-21
06/02/2018,-21
07/02/2018,-22
08/02/2018,-22
09/02/2018,-22
10/02/2018,-22
11/02/2018,-22
12/02/2018,-22
13/02/2018,-23
14/02/2018,-23
15/02/2018,-23
16/02/2018,-23
17/02/2018,-23
18/02/2018,-23
19/02/2018,-23
20/02/2018,-23
21/02/2018,-23
22/02/2018,-23
23/02/2018,-23
24/02/2018,-24
25/02/2018,-24
26/02/2018,-23
27/02/2018,-24
28/02/2018,-24
01/03/2018,-23
02/03/2018,-23
03/03/2018,-22
04/03/2018,-23
05/03/2018,-23
06/03/2018,-23
07/03/2018,-23
08/03/2018,-23
09/03/2018,-23
10/03/2018,-23
11/03/2018,-24
12/03/2018,-23
13/03/2018,-21
14/03/2018,-18
15/03/2018,-18
16/03/2018,-19
17/03/2018,-20
18/03/2018,-20
19/03/2018,-20
20/03/2018,-20
21/03/2018,-21
22/03/2018,-20
23/03/2018,-21
24/03/2018,-21
25/03/2018,-21
26/03/2018,-21
27/03/2018,-21
28/03/2018,-21
29/03/2018,-22
30/03/2018,-22
31/03/2018,-22
01/04/2018,-21
02/04/2018,-19
03/04/2018,-19
04/04/2018,-17
05/04/2018,-17
06/04/2018,-18
07/04/2018,-20
08/04/2018,-20
09/04/2018,-20
10/04/2018,-22
11/04/2018,-22
12/04/2018,-23
13/04/2018,-23
14/04/2018,-23
15/04/2018,-23
16/04/2018,-23
17/04/2018,-23
18/04/2018,-23
19/04/2018,-23
20/04/2018,-23
21/04/2018,-23
22/04/2018,-23
23/04/2018,-23
24/04/2018,-23
25/04/2018,-22
26/04/2018,-21
27/04/2018,-20
28/04/2018,-21
29/04/2018,-21
30/04/2018,-20
01/05/2018,-19
02/05/2018,-19
03/05/2018,-20
04/05/2018,-20
05/05/2018,-21
06/05/2018,-21
07/05/2018,-22
08/05/2018,-22
09/05/2018,-23
10/05/2018,-24
11/05/2018,-25
12/05/2018,-26
13/05/2018,-27
14/05/2018,-28
15/05/2018,-29
16/05/2018,-29
17/05/2018,-30
18/05/2018,-31
19/05/2018,-33
20/05/2018,-35
21/05/2018,-36
22/05/2018,-37
23/05/2018,-38
24/05/2018,-39
25/05/2018,-40
26/05/2018,-41
27/05/2018,-42
28/05/2018,-43
29/05/2018,-43
30/05/2018,-43
31/05/2018,-44
01/06/2018,-45
02/06/2018,-45
03/06/2018,-45
04/06/2018,-45
05/06/2018,-46
06/06/2018,-46
07/06/2018,-47
08/06/2018,-47
09/06/2018,-48
10/06/2018,-48
11/06/2018,-49
12/06/2018,-48
13/06/2018,-48
14/06/2018,-49
15/06/2018,-50
16/06/2018,-51
17/06/2018,-51
18/06/2018,-52
19/06/2018,-51
20/06/2018,-51
21/06/2018,-51
22/06/2018,-50
23/06/2018,-50
24/06/2018,-50
25/06/2018,-49
26/06/2018,-49
27/06/2018,-50
28/06/2018,-51
29/06/2018,-51
30/06/2018,-52
01/07/2018,-53
02/07/2018,-52
03/07/2018,-52
04/07/2018,-52
05/07/2018,-52
06/07/2018,-52
07/07/2018,-52
08/07/2018,-53
09/07/2018,-54
10/07/2018,-54
11/07/2018,-55
12/07/2018,-57
13/07/2018,-57
14/07/2018,-58
15/07/2018,-58
16/07/2018,-59
17/07/2018,-60
18/07/2018,-60
19/07/2018,-60
20/07/2018,-60
21/07/2018,-60
22/07/2018,-60
23/07/2018,-61
24/07/2018,-61
25/07/2018,-61
26/07/2018,-61
27/07/2018,-60
28/07/2018,-62
29/07/2018,-62
30/07/2018,-62
31/07/2018,-62
01/08/2018,-62
02/08/2018,-63
03/08/2018,-64
04/08/2018,-63
05/08/2018,-62
06/08/2018,-62
07/08/2018,-63
08/08/2018,-64
09/08/2018,-65
10/08/2018,-66
11/08/2018,-66
12/08/2018,-65
13/08/2018,-63
14/08/2018,-62
15/08/2018,-61
16/08/2018,-59
17/08/2018,-58
18/08/2018,-59
19/08/2018,-60
20/08/2018,-58
21/08/2018,-53
22/08/2018,-53
23/08/2018,-54
24/08/2018,-55
25/08/2018,-53
26/08/2018,-48
27/08/2018,-46
28/08/2018,-47
29/08/2018,-49
30/08/2018,-49
31/08/2018,-43
01/09/2018,-45
02/09/2018,-45
03/09/2018,-47
04/09/2018,-48
05/09/2018,-49
06/09/2018,-50
07/09/2018,-51
08/09/2018,-52
09/09/2018,-53
10/09/2018,-54
11/09/2018,-54
12/09/2018,-46
13/09/2018,-43
14/09/2018,-45
15/09/2018,-46
16/09/2018,-46
17/09/2018,-44
18/09/2018,-37
19/09/2018,-39
20/09/2018,-40
21/09/2018,-42
22/09/2018,-42
23/09/2018,-39
24/09/2018,-35
25/09/2018,-37
26/09/2018,-35
27/09/2018,-28
28/09/2018,-25
29/09/2018,-27
30/09/2018,-27
01/10/2018,-28
02/10/2018,-27
03/10/2018,-27
04/10/2018,-26
05/10/2018,-27
06/10/2018,-26
07/10/2018,-25
08/10/2018,-25
09/10/2018,-25
10/10/2018,-26
11/10/2018,-27
12/10/2018,-27
13/10/2018,-27
14/10/2018,-28
15/10/2018,-28
16/10/2018,-28
17/10/2018,-29
18/10/2018,-29
19/10/2018,-29
20/10/2018,-29
21/10/2018,-29
22/10/2018,-28
23/10/2018,-27
24/10/2018,-24
25/10/2018,-25
26/10/2018,-25
27/10/2018,-24
28/10/2018,-22
29/10/2018,-24
30/10/2018,-25
31/10/2018,-24
01/11/2018,-25
02/11/2018,-26
03/11/2018,-27
04/11/2018,-27
05/11/2018,-27
06/11/2018,-27
07/11/2018,-27
08/11/2018,-27
09/11/2018,-27
10/11/2018,-28
11/11/2018,-28
12/11/2018,-28
13/11/2018,-25
14/11/2018,-25
15/11/2018,-26
16/11/2018,-27
17/11/2018,-27
18/11/2018,-27
19/11/2018,-28
20/11/2018,-28
21/11/2018,-28
22/11/2018,-28
23/11/2018,-28
24/11/2018,-28
25/11/2018,-28
26/11/2018,-29
27/11/2018,-29
28/11/2018,-30
29/11/2018,-30
30/11/2018,-30
01/12/2018,-31
02/12/2018,-31
03/12/2018,-31
04/12/2018,-29
05/12/2018,-27
06/12/2018,-28
07/12/2018,-28
08/12/2018,-29
09/12/2018,-28
10/12/2018,-27
11/12/2018,-28
12/12/2018,-28
13/12/2018,-29
14/12/2018,-29
15/12/2018,-29
