"Date","WTD"
2018-01-01,-18
2018-01-02,-17
2018-01-03,-18
2018-01-04,-18
2018-01-05,-18
2018-01-06,-17
2018-01-07,-18
2018-01-08,-19
2018-01-09,-20
2018-01-10,-20
2018-01-11,-20
2018-01-12,-21
2018-01-13,-21
2018-01-14,-22
2018-01-15,-22
2018-01-16,-22
2018-01-17,-22
2018-01-18,-22
2018-01-19,-23
2018-01-20,-23
2018-01-21,-23
2018-01-22,-23
2018-01-23,-24
2018-01-24,-23
2018-01-25,-22
2018-01-26,-19
2018-01-27,-18
2018-01-28,-18
2018-01-29,-19
2018-01-30,-19
2018-01-31,-20
2018-02-01,-20
2018-02-02,-21
2018-02-03,-21
2018-02-04,-21
2018-02-05,-21
2018-02-06,-21
2018-02-07,-22
2018-02-08,-22
2018-02-09,-22
2018-02-10,-22
2018-02-11,-22
2018-02-12,-22
2018-02-13,-23
2018-02-14,-23
2018-02-15,-23
2018-02-16,-23
2018-02-17,-23
2018-02-18,-23
2018-02-19,-23
2018-02-20,-23
2018-02-21,-23
2018-02-22,-23
2018-02-23,-23
2018-02-24,-24
2018-02-25,-24
2018-02-26,-23
2018-02-27,-24
2018-02-28,-24
2018-03-01,-23
2018-03-02,-23
2018-03-03,-22
2018-03-04,-23
2018-03-05,-23
2018-03-06,-23
2018-03-07,-23
2018-03-08,-23
2018-03-09,-23
2018-03-10,-23
2018-03-11,-24
2018-03-12,-23
2018-03-13,-21
2018-03-14,-18
2018-03-15,-18
2018-03-16,-19
2018-03-17,-20
2018-03-18,-20
2018-03-19,-20
2018-03-20,-20
2018-03-21,-21
2018-03-22,-20
2018-03-23,-21
2018-03-24,-21
2018-03-25,-21
2018-03-26,-21
2018-03-27,-21
2018-03-28,-21
2018-03-29,-22
2018-03-30,-22
2018-03-31,-22
2018-04-01,-21
2018-04-02,-19
2018-04-03,-19
2018-04-04,-17
2018-04-05,-17
2018-04-06,-18
2018-04-07,-20
2018-04-08,-20
2018-04-09,-20
2018-04-10,-22
2018-04-11,-22
2018-04-12,-23
2018-04-13,-23
2018-04-14,-23
2018-04-15,-23
2018-04-16,-23
2018-04-17,-23
2018-04-18,-23
2018-04-19,-23
2018-04-20,-23
2018-04-21,-23
2018-04-22,-23
2018-04-23,-23
2018-04-24,-23
2018-04-25,-22
2018-04-26,-21
2018-04-27,-20
2018-04-28,-21
2018-04-29,-21
2018-04-30,-20
2018-05-01,-19
2018-05-02,-19
2018-05-03,-20
2018-05-04,-20
2018-05-05,-21
2018-05-06,-21
2018-05-07,-22
2018-05-08,-22
2018-05-09,-23
2018-05-10,-24
2018-05-11,-25
2018-05-12,-26
2018-05-13,-27
2018-05-14,-28
2018-05-15,-29
2018-05-16,-29
2018-05-17,-30
2018-05-18,-31
2018-05-19,-33
2018-05-20,-35
2018-05-21,-36
2018-05-22,-37
2018-05-23,-38
2018-05-24,-39
2018-05-25,-40
2018-05-26,-41
2018-05-27,-42
2018-05-28,-43
2018-05-29,-43
2018-05-30,-43
2018-05-31,-44
2018-06-01,-45
2018-06-02,-45
2018-06-03,-45
2018-06-04,-45
2018-06-05,-46
2018-06-06,-46
2018-06-07,-47
2018-06-08,-47
2018-06-09,-48
2018-06-10,-48
2018-06-11,-49
2018-06-12,-48
2018-06-13,-48
2018-06-14,-49
2018-06-15,-50
2018-06-16,-51
2018-06-17,-51
2018-06-18,-52
2018-06-19,-51
2018-06-20,-51
2018-06-21,-51
2018-06-22,-50
2018-06-23,-50
2018-06-24,-50
2018-06-25,-49
2018-06-26,-49
2018-06-27,-50
2018-06-28,-51
2018-06-29,-51
2018-06-30,-52
2018-07-01,-53
2018-07-02,-52
2018-07-03,-52
2018-07-04,-52
2018-07-05,-52
2018-07-06,-52
2018-07-07,-52
2018-07-08,-53
2018-07-09,-54
2018-07-10,-54
2018-07-11,-55
2018-07-12,-57
2018-07-13,-57
2018-07-14,-58
2018-07-15,-58
2018-07-16,-59
2018-07-17,-60
2018-07-18,-60
2018-07-19,-60
2018-07-20,-60
2018-07-21,-60
2018-07-22,-60
2018-07-23,-61
2018-07-24,-61
2018-07-25,-61
2018-07-26,-61
2018-07-27,-60
2018-07-28,-62
2018-07-29,-62
2018-07-30,-62
2018-07-31,-62
2018-08-01,-62
2018-08-02,-63
2018-08-03,-64
2018-08-04,-63
2018-08-05,-62
2018-08-06,-62
2018-08-07,-63
2018-08-08,-64
2018-08-09,-65
2018-08-10,-66
2018-08-11,-66
2018-08-12,-65
2018-08-13,-63
2018-08-14,-62
2018-08-15,-61
2018-08-16,-59
2018-08-17,-58
2018-08-18,-59
2018-08-19,-60
2018-08-20,-58
2018-08-21,-53
2018-08-22,-53
2018-08-23,-54
2018-08-24,-55
2018-08-25,-53
2018-08-26,-48
2018-08-27,-46
2018-08-28,-47
2018-08-29,-49
2018-08-30,-49
2018-08-31,-43
2018-09-01,-45
2018-09-02,-45
2018-09-03,-47
2018-09-04,-48
2018-09-05,-49
2018-09-06,-50
2018-09-07,-51
2018-09-08,-52
2018-09-09,-53
2018-09-10,-54
2018-09-11,-54
2018-09-12,-46
2018-09-13,-43
2018-09-14,-45
2018-09-15,-46
2018-09-16,-46
2018-09-17,-44
2018-09-18,-37
2018-09-19,-39
2018-09-20,-40
2018-09-21,-42
2018-09-22,-42
2018-09-23,-39
2018-09-24,-35
2018-09-25,-37
2018-09-26,-35
2018-09-27,-28
2018-09-28,-25
2018-09-29,-27
2018-09-30,-27
2018-10-01,-28
2018-10-02,-27
2018-10-03,-27
2018-10-04,-26
2018-10-05,-27
2018-10-06,-26
2018-10-07,-25
2018-10-08,-25
2018-10-09,-25
2018-10-10,-26
2018-10-11,-27
2018-10-12,-27
2018-10-13,-27
2018-10-14,-28
2018-10-15,-28
2018-10-16,-28
2018-10-17,-29
2018-10-18,-29
2018-10-19,-29
2018-10-20,-29
2018-10-21,-29
2018-10-22,-28
2018-10-23,-27
2018-10-24,-24
2018-10-25,-25
2018-10-26,-25
2018-10-27,-24
2018-10-28,-22
2018-10-29,-24
2018-10-30,-25
2018-10-31,-24
2018-11-01,-25
2018-11-02,-26
2018-11-03,-27
2018-11-04,-27
2018-11-05,-27
2018-11-06,-27
2018-11-07,-27
2018-11-08,-27
2018-11-09,-27
2018-11-10,-28
2018-11-11,-28
2018-11-12,-28
2018-11-13,-25
2018-11-14,-25
2018-11-15,-26
2018-11-16,-27
2018-11-17,-27
2018-11-18,-27
2018-11-19,-28
2018-11-20,-28
2018-11-21,-28
2018-11-22,-28
2018-11-23,-28
2018-11-24,-28
2018-11-25,-28
2018-11-26,-29
2018-11-27,-29
2018-11-28,-30
2018-11-29,-30
2018-11-30,-30
2018-12-01,-31
2018-12-02,-31
2018-12-03,-31
2018-12-04,-29
2018-12-05,-27
2018-12-06,-28
2018-12-07,-28
2018-12-08,-29
2018-12-09,-28
2018-12-10,-27
2018-12-11,-28
2018-12-12,-28
2018-12-13,-29
2018-12-14,-29
2018-12-15,-29
2018-12-16,-29
2018-12-17,-30
2018-12-18,-30
2018-12-19,-30
2018-12-20,-30
2018-12-21,-30
2018-12-22,-30
2018-12-23,-30
2018-12-24,-30
2018-12-25,-30
2018-12-26,-29
2018-12-27,-30
2018-12-28,-30
2018-12-29,-30
2018-12-30,-30
2018-12-31,-30
2019-01-01,-28
2019-01-02,-27
2019-01-03,-28
2019-01-04,-28
2019-01-05,-29
2019-01-06,-29
2019-01-07,-29
2019-01-08,-29
2019-01-09,-29
2019-01-10,-29
2019-01-11,-29
2019-01-12,-29
2019-01-13,-29
2019-01-14,-28
2019-01-15,-28
2019-01-16,-29
2019-01-17,-27
2019-01-18,-27
2019-01-19,-28
2019-01-20,-28
2019-01-21,-28
2019-01-22,-28
2019-01-23,-28
2019-01-24,-29
2019-01-25,-29
2019-01-26,-28
2019-01-27,-28
2019-01-28,-29
2019-01-29,-29
2019-01-30,-29
2019-01-31,-29
2019-02-01,-29
2019-02-02,-29
2019-02-03,-28
2019-02-04,-28
2019-02-05,-28
2019-02-06,-28
2019-02-07,-28
2019-02-08,-28
2019-02-09,-26
2019-02-10,-24
2019-02-11,-23
2019-02-12,-24
2019-02-13,-25
2019-02-14,-26
2019-02-15,-24
2019-02-16,-23
2019-02-17,-24
2019-02-18,-25
2019-02-19,-24
2019-02-20,-22
2019-02-21,-24
2019-02-22,-25
2019-02-23,-27
2019-02-24,-27
2019-02-25,-26
2019-02-26,-25
2019-02-27,-26
2019-02-28,-25
2019-03-01,-26
2019-03-02,-27
2019-03-03,-28
2019-03-04,-27
2019-03-05,-26
2019-03-06,-27
2019-03-07,-27
2019-03-08,-22
2019-03-09,-21
2019-03-10,-21
2019-03-11,-24
2019-03-12,-27
2019-03-13,-27
2019-03-14,-27
2019-03-15,-23
2019-03-16,-21
2019-03-17,-21
2019-03-18,-21
2019-03-19,-23
2019-03-20,-23
2019-03-21,-23
2019-03-22,-23
2019-03-23,-24
2019-03-24,-24
2019-03-25,-24
2019-03-26,-25
2019-03-27,-26
2019-03-28,-26
2019-03-29,-26
2019-03-30,-26
2019-03-31,-26
2019-04-01,-26
2019-04-02,-27
2019-04-03,-27
2019-04-04,-28
2019-04-05,-28
2019-04-06,-28
2019-04-07,-28
2019-04-08,-28
2019-04-09,-27
2019-04-10,-26
2019-04-11,-26
2019-04-12,-27
2019-04-13,-27
2019-04-14,-28
2019-04-15,-28
2019-04-16,-29
2019-04-17,-30
2019-04-18,-30
2019-04-19,-30
2019-04-20,-31
2019-04-21,-32
2019-04-22,-33
2019-04-23,-34
2019-04-24,-35
2019-04-25,-36
2019-04-26,-37
2019-04-27,-37
2019-04-28,-38
2019-04-29,-40
2019-04-30,-40
2019-05-01,-38
